wavelength_nm,c_ext,c_sca,c_abs
400.0,20500.761876815886,111.8835497748584,20388.878327041028
405.0,21640.681327898146,106.05200024898441,21534.629327649163
410.0,22831.542923054683,100.57840629918,22730.964516755503
415.0,24075.18295633333,95.43704028517045,23979.74591604816
420.0,25373.495868607446,90.60429526097882,25282.891573346467
425.0,26728.43621189047,86.05848803670999,26642.37772385376
430.0,28142.02069070925,81.77968254971735,28060.241008159534
435.0,29616.330283861433,77.74953124640432,29538.580752615027
440.0,31153.512450043665,73.9511324587557,31079.56131758491
445.0,32755.783421008484,70.36890200500586,32685.41451900348
450.0,34425.43058608706,66.98845745696558,34358.44212863009
455.0,36164.81497210497,63.79651370197636,36101.01845840299
460.0,37976.373822918176,60.78078858908686,37915.59303432909
465.0,39862.623283006185,57.92991759012991,39804.69336541605
470.0,41826.16118978326,55.23337652971909,41770.92781325354
475.0,43869.6699795219,52.68141154617299,43816.98856797573
480.0,45995.91971203113,50.264975540057605,45945.65473649107
485.0,48207.77121949416,47.975670450176075,48159.795549043985
490.0,50508.179385144605,45.805694769936224,50462.37369037467
495.0,52900.196557754185,43.7477957813847,52856.4487619728
500.0,55386.976108212446,41.7952260409453,55345.1808821715
505.0,57971.77613480407,39.9417037009895,57931.83443110308
510.0,60657.963324135955,38.18137629564596,60619.78194784031
515.0,63449.01697502887,36.508787658443325,63412.508187370426
520.0,66348.53319307634,34.91884767410498,66313.61434540222
525.0,69360.22926397863,33.40680459762051,69326.82245938102
530.0,72487.94821419619,31.968219701081257,72455.97999449511
535.0,75735.66356791952,30.598944033100373,75705.06462388641
540.0,79107.48430984185,29.29509709729909,79078.18921274455
545.0,82607.66006373157,28.053047275646506,82579.60701645592
550.0,86240.58649734793,26.869393839666216,86213.71710350827
555.0,90010.81096481936,25.740950407906972,89985.07001441145
560.0,93923.03839821734,24.664729721830316,93898.37366849551
565.0,97982.13746070907,23.637929624580092,97958.49953108448
570.0,102193.14697435913,22.657920138128475,102170.489054221
575.0,106561.2826363871,21.722231544185746,106539.56040484291
580.0,111091.94403846134,20.828543383140843,111071.1154950782
585.0,115790.72200443948,19.97467429327912,115770.7473301462
590.0,120663.4062628417,19.158572619700106,120644.24769022201
595.0,125715.9934712776,18.378307728818623,125697.61516354878
600.0,130954.69561104261,17.632061970154,130937.06354907245
605.0,136385.94877115378,16.91812323236114,136369.0306479214
610.0,142016.42234222154,16.234878045197224,142000.18746417636
615.0,147853.02864175217,15.580805183397416,147837.44783656878
620.0,153902.93299375055,14.954469732305043,153887.97852401825
625.0,160173.56428685237,14.354517578603701,160159.20976927376
630.0,166672.6260366659,13.779670292671776,166658.8463663732
635.0,173408.1079795474,13.22872037195518,173394.87925917545
640.0,180388.29822668363,12.700526817362984,180375.59769986628
645.0,187621.79600911494,12.194011017058285,187609.60199809787
650.0,195117.5250462129,11.708152914168924,195105.81689329873
655.0,202884.74757212924,11.2419874368982,202873.50558469235
660.0,210933.07905688396,10.79460117129655,210922.28445571265
665.0,219272.5036610478,10.365129258575369,219262.13853178924
670.0,227913.39046542728,9.9527525003217,227903.43771292694
675.0,236866.51051978997,9.55669465631916,236856.95382513365
680.0,246143.05475746698,9.176219920909546,246133.87853754606
685.0,255754.65282568455,8.810630564952168,255745.8421951196
690.0,265713.3928846965,8.459264731463382,265704.93361996504
695.0,276031.8424322427,8.121494373956807,276023.72093786875
700.0,286723.0702135646,7.796723327362795,286715.27349023725
