wavelength_nm,c_ext,c_sca,c_abs
400,714.6436733597322,43.29175631880367,671.3519170409286
405,714.6433907741596,41.19315010482492,673.4502406693347
410,714.6431184637371,39.22018155919809,675.422936904539
415,714.642855935635,37.36393189080256,677.2789240448325
420,714.642602729039,35.61621229732045,679.0263904317186
425,714.6423584072089,33.96949647273423,680.6728619344747
430,714.6421225574384,32.41686005456174,682.2252625028766
435,714.6418947935847,30.951926226965057,683.6899685666197
440,714.6416747514047,29.5688167921716,685.0728579592331
445,714.6414620841264,28.262108106185,686.3793539779414
450,714.6412564657845,27.02679134735103,687.6144651184335
455,714.641057588503,25.858236649518215,688.7828209389849
460,714.640865163168,24.752160686602355,689.8887044765656
465,714.6406789111235,23.704597343443716,690.9360815676797
470,714.6404985702045,22.711871149886097,691.9286274203184
475,714.6403238938238,21.770573191821107,692.8697507020028
480,714.640154649269,20.877539245225794,693.7626154040432
485,714.6399906133885,20.029829907575657,694.6101607058129
490,714.6398315713956,19.224712525949233,695.4151190454463
495,714.6396773240266,18.459644743099272,696.1800325809273
500,714.6395276819653,17.732259502129093,696.9072681798363
505,714.639382462388,17.040351367509505,697.5990310948785
510,714.6392414942476,16.381864035287368,698.2573774589603
515,714.6391046104488,15.754878918717136,698.8842256917317
520,714.6389716566077,15.157604707405616,699.4813669492021
525,714.638842484883,14.588367808582902,700.0504746763
530,714.6387169485884,14.045603588461537,700.5931133601268
535,714.6385949187771,13.527848339960686,701.1107465788165
540,714.6384762626382,13.033731910476469,701.6047443521617
545,714.6383608571466,12.561970929979271,702.0763899271674
550,714.6382485819856,12.111362585609657,702.526885996376
555,714.6381393303943,11.680778894205831,702.9573604361885
560,714.6380329918222,11.269161428901795,703.3688715629204
565,714.6379294613037,10.87551646014792,703.7624130011558
570,714.6378286473299,10.498910475280645,704.1389181720492
575,714.6377304507802,10.138466044154756,704.4992644066255
580,714.637634780761,9.793358001392038,704.844276779369
585,714.6375415548181,9.462809918533042,705.1747316362851
590,714.6374506891899,9.146090841836966,705.4913598473529
595,714.6373621048731,8.842512273688616,705.7948498311845
600,714.637275724595,8.551425377566154,706.0858503470289
605,714.6371914776964,8.272218388323285,706.3649730893732
610,714.6371092936158,8.004314211164287,706.6327950824515
615,714.637029106643,7.7471681941585375,706.8898609124844
620,714.6369508527697,7.5002660604692775,707.1366847923005
625,714.6368744670202,7.263121987673017,707.3737524793472
630,714.6367998936357,7.035276822635246,707.6015230710004
635,714.6367270757092,6.8162964213949735,707.8204306543142
640,714.6366559588384,6.60577010440663,708.0308858544319
645,714.636586486914,6.403309218301066,708.2332772686129
650,714.6365186134934,6.208545796066694,708.4279728174267
655,714.6364522875547,6.021131308223998,708.6153209793307
660,714.6363874646773,5.840735498178545,708.7956519664988
665,714.6363240982818,5.667045295494807,708.9692788027869
670,714.6362621438577,5.499763801341057,709.1364983425167
675,714.6362015617473,5.338609340818911,709.2975922209283
680,714.6361423111579,5.183314577313852,709.4528277338441
685,714.6360843535341,5.0336256843894045,709.6024586691447
690,714.6360276513356,4.889301571100477,709.746726080235
695,714.635972167547,4.750113156924427,709.8858590106227
700,714.6359178709547,4.615842692803709,710.020075178151
